agent_id,name,office,avg_listings_per_month,avg_response_time_hours,avg_days_to_publish,satisfaction_score
Agent_01,Anna,Hamburg-West,6,1.9,14,4.0
Agent_02,Max,Hamburg-West,4,7.9,10,3.9
Agent_03,Lena,Hamburg-North,2,11.7,9,3.7
Agent_04,Felix,Hamburg-North,3,7.8,11,3.7
Agent_05,Sarah,Hamburg-West,2,8.6,15,4.8
Agent_06,Jonas,Hamburg-West,4,8.5,13,3.7
Agent_07,Marie,Hamburg-City,5,6.3,14,4.3
Agent_08,Tim,Hamburg-West,4,10.6,8,4.1
Agent_09,Laura,Hamburg-City,4,11.6,16,3.7
Agent_10,David,Hamburg-City,3,5.8,4,3.8
Agent_11,Julia,Hamburg-City,1,12.3,4,4.8
Agent_12,Niklas,Hamburg-City,4,4.9,15,4.6
Agent_13,Sophia,Hamburg-City,4,6.1,9,3.9
Agent_14,Leon,Hamburg-City,2,10.2,14,4.7
Agent_15,Emma,Hamburg-North,1,17.9,8,4.1
Agent_16,Moritz,Hamburg-City,2,12.9,14,4.2
Agent_17,Lea,Hamburg-West,3,7.3,6,3.0
Agent_18,Finn,Hamburg-North,7,13.8,11,3.5
Agent_19,Clara,Hamburg-City,2,9.5,15,4.5
Agent_20,Paul,Hamburg-South,4,5.3,5,3.1
Agent_21,Mia,Hamburg-North,4,6.1,12,3.5
Agent_22,Lukas,Hamburg-North,3,3.6,7,4.4
Agent_23,Hannah,Hamburg-City,4,6.5,10,4.9
Agent_24,Ben,Hamburg-City,6,7.0,3,3.6
Agent_25,Amelie,Hamburg-City,6,6.3,9,4.9
Agent_26,Jan,Hamburg-North,3,11.4,8,4.9
Agent_27,Lisa,Hamburg-North,2,8.1,15,4.7
Agent_28,Tom,Hamburg-North,2,16.2,3,4.4
Agent_29,Nora,Hamburg-West,6,8.3,16,3.3
Agent_30,Erik,Hamburg-North,3,3.6,16,3.6
Agent_31,Katharina,Hamburg-South,3,9.1,3,4.5
Agent_32,Florian,Hamburg-City,2,10.8,15,4.7
Agent_33,Johanna,Hamburg-North,5,11.5,5,3.9
Agent_34,Philipp,Hamburg-South,2,11.8,9,4.3
Agent_35,Carla,Hamburg-City,4,11.6,5,3.3
Agent_36,Tobias,Hamburg-West,5,12.2,13,3.6
Agent_37,Helena,Hamburg-South,3,14.2,10,4.6
Agent_38,Sebastian,Hamburg-North,3,3.3,6,4.1
Agent_39,Lina,Hamburg-North,3,4.6,6,4.8
Agent_40,Christian,Hamburg-North,4,5.9,12,3.5
Agent_41,Eva,Hamburg-North,4,6.6,12,4.6
Agent_42,Matthias,Hamburg-North,4,10.8,9,4.3
Agent_43,Antonia,Hamburg-South,3,10.8,10,4.2
Agent_44,Patrick,Hamburg-City,1,1.2,17,3.1
Agent_45,Marlene,Hamburg-South,4,6.7,15,4.5
Agent_46,Henrik,Hamburg-South,2,8.7,16,3.7
Agent_47,Theresa,Hamburg-City,4,11.0,3,3.0
Agent_48,Robert,Hamburg-South,3,9.2,10,3.0
Agent_49,Charlotte,Hamburg-South,6,13.7,5,3.9
Agent_50,Oliver,Hamburg-North,3,7.9,14,3.3
